Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uf,C_0805_2012Metric,54.35,-101.025,-90,top
C2,10uF,C_0805_2012Metric,71.45,-83.8,-90,top
C3,10uF,C_0805_2012Metric,64.375,-81.6,180,top
C4,10uF,C_0805_2012Metric,69.9,-99.45,-90,top
C5,10uF,C_0805_2012Metric,70.125,-105.45,180,top
C6,100nF,C_0805_2012Metric,64.375,-79.525,180,top
C7,22uF,C_0805_2012Metric,47.075,-66.7,180,top
C8,100nF,C_0805_2012Metric,47.075,-64.6,180,top
C9,100nF,C_0805_2012Metric,81.3,-89.725,-90,top
C10,100nF,C_0805_2012Metric,80.725,-98.1,-90,top
C11,1uF,C_0805_2012Metric,78.475,-72.775,90,top
C12,100nF,C_0805_2012Metric,41.575,-66.65,0,top
D1,SP0503BAHTG,SOT-363_SC-70-6,48.4375,-106.25,-90,top
D2,SS14,D_SMA,48.8,-100,180,top
D3,LED,LED_0805_2012Metric,69.6875,-108.975,180,top
D4,LED,LED_0805_2012Metric,62.125,-108.925,180,top
D5,LED,LED_0805_2012Metric,70.175,-66.625,0,top
EN1,10k,R_0805_2012Metric,75.575,-69.45,0,top
F1,500mA,Fuse_1206_3216Metric,39.925,-105.175,0,top
J1,USB_C_Receptacle_USB2.0_16P,USB_C_Receptacle_HRO_TYPE-C-31-M-12,29.475,-108.235,0,top
J2,Battery Pin,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,77.45,-104.4,-90,top
J3,E-ink,PinHeader_1x08_P2.54mm_Vertical,27.3,-73.4,0,top
J4,BME280_MODULE,PinHeader_1x04_P2.54mm_Vertical,40.45,-63.625,-90,top
R3,2.2k,R_0805_2012Metric,59.525,-104.175,180,top
R4,10k,R_0805_2012Metric,59.575,-101.925,180,top
R5,1k,R_0805_2012Metric,58.25,-108.9,0,top
R6,1k,R_0805_2012Metric,65.95,-109.025,0,top
R9,10k,R_0805_2012Metric,78.775,-94.375,-90,top
R10,10k,R_0805_2012Metric,78.9,-85.3,0,top
R14,4.7k,R_0805_2012Metric,47.95,-74.55,90,top
R15,4.7k,R_0805_2012Metric,47.95,-71.1,-90,top
RC1,5.1k,R_0805_2012Metric,26.975,-100.275,90,top
RC2,5.1k,R_0805_2012Metric,33.025,-99.225,0,top
RLED1,1k,R_0805_2012Metric,70.225,-70.775,0,top
SW1,SW_Push_45deg,SW_SPST_TL3342,87.2,-70.975,0,top
SW2,SW_Push_45deg,SW_SPST_TL3342,87.2,-78.025,0,top
SW3,SW_Push_45deg,SW_SPST_TL3342,87.2,-85.075,0,top
SW4,SW_Push_45deg,SW_SPST_TL3342,87.2,-92.125,0,top
U1,ESP32-S3-MINI-1,ESP32-S2-MINI-1,58.9,-65.9,0,top
U2,MCP1700x-330xxMB,SOT-89-3,67.375,-86.7,-90,top
U4,TP4056-42-ESOP8,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias,65.95,-99.925,90,top
e-ink1,10k,R_0805_2012Metric,56,-80.35,-90,top
usb1,27R,R_0805_2012Metric,58.35,-78.975,-90,top
usb2,27R,R_0805_2012Metric,60.325,-78.975,-90,top
