Id,Designator,Footprint,Quantity,Comment,Supplier and ref
1,"C3,C4,C2,C5",C_0805_2012Metric,4,10uF,
2,"R6,R5,RLED1",R_0805_2012Metric,3,1k,
3,F1,Fuse_1206_3216Metric,1,500mA,
4,J3,PinHeader_1x08_P2.54mm_Vertical,1,E-ink,
5,"RC2,RC1",R_0805_2012Metric,2,5.1k,
6,"SW3,SW4,SW2,SW1",SW_SPST_TL3342,4,SW_Push_45deg,
7,C1,C_0805_2012Metric,1,10uf,
8,C7,C_0805_2012Metric,1,22uF,
9,C11,C_0805_2012Metric,1,1uF,
10,"D5,D4,D3",LED_0805_2012Metric,3,LED,
11,"R9,R4,R10,e-ink1,EN1",R_0805_2012Metric,5,10k,
12,J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_16P,
13,"C9,C8,C12,C10,C6",C_0805_2012Metric,5,100nF,
14,"usb1,usb2",R_0805_2012Metric,2,27R,
15,D2,D_SMA,1,SS14,
16,U4,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias,1,TP4056-42-ESOP8,
17,J2,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,Battery Pin,
18,U2,SOT-89-3,1,MCP1700x-330xxMB,
19,J4,PinHeader_1x04_P2.54mm_Vertical,1,BME280_MODULE,
20,R3,R_0805_2012Metric,1,2.2k,
21,"R14,R15",R_0805_2012Metric,2,4.7k,
22,D1,SOT-363_SC-70-6,1,SP0503BAHTG,
23,U1,ESP32-S2-MINI-1,1,ESP32-S3-MINI-1,
